Solvent,Solute,logK,deltaG_solv
CCCCCCCC,CC(C)C,1.683,-0.09957
C(=O)N,C1CCCCC1,0.99,-0.05857
CC(C)OCCO,CCCCCCCC,3.22734187901,-0.19093
CC(=O)N(C)C,CC(C)CC(C)C,2.17,-0.12838
CCCCCCCCC,[Xe],0.6,-0.0355
CCOCCO,Cc1ccccc1,3.446,-0.20386
CC1CCCCC1,C(F)(F)(F)F,-0.58,0.03431
CC(C)CCO,CCCC,1.4798,-0.08754
C1CCC(=O)CC1,CI,2.624,-0.15523
CC(=O)N(C)C,CCCCO,4.57,-0.27036
CCCCCCCC,c1ccc(cc1)N,3.547,-0.20984
C(Cl)(Cl)Cl,C1CCOC1,3.86,-0.22836
CC(C)OCCO,Cc1ccccc1C,3.96043928758,-0.2343
C(Cl)(Cl)Cl,c1ccc(cc1)CO,5.82,-0.34431
c1ccc(cc1)C#N,[Ar],-0.825,0.04881
COCCO,C1COCCO1,3.625,-0.21445
CCCCO,CC(C)CC(C)C,2.562,-0.15157
CCCCCCCCCC,CCCOC(=O)C,2.9,-0.17156
CCCCCCCCO,Cc1ccccc1C,3.9,-0.23072
CC(=O)OC,CC(C)C(C)C(C)C,3.096,-0.18316
C/C(=N/C)/O,CO,3.46,-0.20469
CO,CCCC(=O)CCC,4.23,-0.25024
C1COCCO1,CCCCC(=O)C,4.17,-0.24669
C(CCl)Cl,C[Sn](C)(C)C,2.64,-0.15618
CCCCCCCCCCCCCCCC,CCCC(C)(C)O,3.181,-0.18819
CCCC(C)O,CC(F)F,0.89,-0.05265
CC(C)O,[He],-1.54,0.09111
CN(C)C=O,Cc1ccccc1,3.64,-0.21534
CC(=O)C,CCl,1.85,-0.10944
CCCCCCCCCCCC,C(C(F)(F)F)OCC(F)(F)F,1.47,-0.08696
CCOC(=O)C,CCI,2.96,-0.17511
CCCCCl,C(Cl)(Cl)Cl,2.987,-0.17671
Cc1ccccc1,CC(C)OC(C)C,2.92,-0.17275
CC1COC(=O)O1,c1ccccc1,2.84,-0.16801
CC(C)(C)O,CCCCO,4.61,-0.27272
CCCCCCO,[Ar],-0.662,0.03916
C(I)I,CC(=O)C,2.43,-0.14376
c1ccc(cc1)I,CC,0.45,-0.02662
Cc1cccc(c1)C,C(=O)=O,0.328,-0.0194
CC(C)CCO,C=CC=C,1.529,-0.09045
CCCCCCCCCCCCCCCC,CC(C)CCOC(=O)C,3.75,-0.22185
C/C(=N/C)/O,CC(=O)C,2.69,-0.15914
CCCCCCCCO,CN,1.9,-0.1124
C1CCOC1,CC(C)CCC(C)C,3.53,-0.20883
C(CCl)Cl,C[N+](=O)[O-],3.57,-0.2112
C/C(=N/C)/O,CC,0.19,-0.01124
C(Cl)(Cl)Cl,c1cc(cc(c1)[N+](=O)[O-])N,8.09,-0.4786
CC(C)CCO,CCC=C,1.462,-0.08649
CCOC(=O)C,N#N,-0.76,0.04496
CCCCCCCCO,[C-]#[O+],-0.88,0.05206
CCOCC,CC(=O)C,2.57,-0.15204
C(Cl)(Cl)(Cl)Cl,Cc1ccccc1C,4.53,-0.26799
C(Cl)(Cl)(Cl)Cl,[Kr],0.12,-0.0071
c1ccc(cc1)CO,CC(C)CCC(C)C,2.435,-0.14405
C(Cl)(Cl)Cl,Cc1ccccn1,5.06,-0.29935
CCOC(=O)C,c1cc(oc1)C=O,4.62,-0.27332
C1CCOC1,c1ccc(c(c1)Cl)Cl,5.21,-0.30822
CCCCCCCCCCCCCCCC,CCCCCCC#C,3.48,-0.20587
C(Cl)Cl,CCOCOCC,4.009,-0.23717
CCCCCCCCCCCCCCCC,C(C(F)(F)F)(F)Br,1.37,-0.08105
C1CCOC1,c1ccc(cc1)I,5.41,-0.32005
CC(=O)C,C=CC#C,2.34,-0.13843
C1CCOCC1,CCCl,2.26,-0.1337
Cc1ccc(cc1)C,C=CC#C,2.249,-0.13305
CCOCCO,CCCCCCCCC,3.468,-0.20516
c1ccncc1,[C-]#[O+],-0.932,0.05514
CCCCCCCCCCCC,CCCOP(=O)(OCCC)OCCC,6.01,-0.35555
C(Cl)(Cl)(Cl)Cl,[Ne],-1.37,0.08105
C(Cl)(Cl)Cl,CCc1cccc(c1)O,6.0,-0.35496
CC(=O)N(C)C,CCC(C)O,4.32,-0.25557
CCCCCC,CCCCCCCCCCC,5.54,-0.32774
C(CCl)Cl,Cc1ccccc1C,4.49,-0.26563
CCOCCO,CC1CCCC1,2.401,-0.14204
CC(=O)C,CC(C)CCC(C)C,2.95,-0.17452
C(Cl)(Cl)Cl,CCC(C(C)(C)C)O,4.877,-0.28852
CCO,CC(C)O,3.86,-0.22836
CCCCCCCCCCCCCCCC,CCCCOCCCC,4.001,-0.2367
CC1COC(=O)O1,CCCCCC,1.53,-0.09051
CC(=O)N(C)C,[Ar],-0.87,0.05147
CCCCCCCCO,C1CCNC1,4.07,-0.24078
c1ccc(cc1)C#N,Cc1ccccc1,3.684,-0.21794
C(Cl)(Cl)(Cl)Cl,c1cc(ccc1O)Cl,5.56,-0.32893
c1ccc(cc1)Cl,CN,1.58,-0.09347
CCCO,C/C=C\C,1.63,-0.09643
CC1COC(=O)O1,CCOC(C)(C)C,2.24,-0.13252
c1ccc(cc1)Br,CCCCCO,3.78,-0.22362
CCC(=O)C,CCCCCC,2.52,-0.14908
C(Cl)Cl,C1COCCO1,4.272,-0.25273
C1CCC(=O)CC1,CC(C)(C)Cl,2.666,-0.15772
CC(=O)O,C1CCCC1,1.921,-0.11365
CC(=O)C,O=S=O,2.58,-0.15263
CCCC#N,C1CCCCC1,2.599,-0.15376
CCCCCCCCCCCCCCCC,CC(C)CBr,2.961,-0.17517
CCCCCCCCO,CCC(=O)C,2.77,-0.16387
CCCCCCO,C=C,0.318,-0.01881
CC(C)O,CC(C)C,1.39,-0.08223
CCO,CC(C)C,1.2,-0.07099
CCCCCC,CCC(=O)C,2.49,-0.14731
CCC(=O)C,CCO,3.17,-0.18754
CCCO,c1ccc(cc1)CBr,4.7,-0.27805
CCCCCCCCCCC,CCCCCC,2.9,-0.17156
CCOCC,CC(C)C,1.71,-0.10116
CC(C)OC(C)C,CCCCCl,3.093,-0.18298
CCCCCCCCC,CC(=C)C,1.751,-0.10359
c1ccc(cc1)Cl,CCCCOCCO,4.52,-0.2674
C(=O)N,CCCCCC(=O)C,3.48,-0.20587
CCCCOCCCC,C1CCCCC1,3.01,-0.17807
CC(C)OCCO,C1CCCCC1,2.62432199445,-0.15525
CCO,C1CCCC1,2.04,-0.12069
CC(CO)O,O=O,-1.235,0.07306
CC(=O)C,C(CCl)CCl,4.13,-0.24433
CCCCCCCCCC,Cc1ccc(cc1)N,4.75,-0.28101
CO,CCCC,1.27,-0.07513
CCCCCCCCCCCCCCCC,C1CCCCC1,2.913,-0.17233
C/C(=N/C)/O,[He],-1.8,0.10649
Cc1ccccc1,CCCO,2.746,-0.16245
C(Cl)(Cl)Cl,c1ccc(cc1)F,3.44,-0.20351
C1CCC(=O)OCC1,C(Cl)(Cl)Cl,3.34,-0.19759
CCCCCCCCCC,CCC(C)(C)C,2.48,-0.14672
CC(=O)c1ccccc1,CI,2.514,-0.14873
CCCCCCCC,CC#N,1.59,-0.09406
CN(C)C=O,CCCCCCCCCCCC,4.51,-0.26681
C(Cl)(Cl)Cl,C(Cl)(Cl)(Cl)Cl,3.25,-0.19227
C(CCl)Cl,Cc1ccc(cc1)C,4.37,-0.25853
c1ccc(cc1)Cl,CCC#N,3.26,-0.19286
c1ccc(cc1)I,C,-0.61,0.03609
CCCCCCCCCCCCCCCC,CC[N+](=O)[O-],2.367,-0.14003
CCCCCCC,CC,0.726,-0.04295
c1ccc(cc1)I,[Ar],-0.96,0.05679
Cc1ccccc1,C1CCCCC1,3.056,-0.18079
C(Cl)(Cl)Cl,CCCCCCCCC,4.418,-0.26137
CCCCCCCCCC,[N-]=[N+]=O,0.36,-0.0213
CCCCCCCCCCCCCCCC,CCc1ccccc1,3.765,-0.22273
CCCCCCCCCCCC,N#N,-0.85,0.05029
CC(C)O,CCOC=O,2.31,-0.13666
c1ccc(cc1)C#N,CCCCC=C,2.216,-0.1311
CC(C)O,CC(=O)C,2.46,-0.14553
CCCCCCCCCCCCCCCC,CCCCCCCCC=O,4.9,-0.28988
CCCCC,CCCCCl,2.99,-0.17689
C=CCO,CCCC,1.31,-0.0775
CCCCCCCCCCCCCCCC,C=CCO,1.996,-0.11808
C1COCCN1C=O,C1CCOC1,2.71,-0.16032
c1ccc(cc1)I,CCCCN,2.99,-0.17689
C/N=C/O,[Ar],-0.97,0.05738
CCCCCCCCCC,CCCCOC(=O)C,3.484,-0.20611
CCCCCCCC,CCCCN,2.525,-0.14938
C(Cl)(Cl)Cl,CC(=O)c1ccc(cc1)O,8.1,-0.47919
CC(C)O,N#N,-0.83,0.0491
CCCCCCCCCCCCCCCC,CCC,1.05,-0.06212
CCCCCCCC,CC(C)CCC(C)C,3.54,-0.20942
c1ccncc1,Cc1cccc(c1)C,4.257,-0.25184
C(Cl)(Cl)Cl,CC(C)OC(C)C,3.62,-0.21416
C/N=C/O,CC(C)(C)OC,2.26,-0.1337
CCCCCCCCCO,[Kr],-0.23,0.01361
CCC(C)CO,C=CC=C,1.51,-0.08933
CC(=O)N(C)C,c1ccoc1,2.73,-0.16151
CCCCCCCC,[Ar],-0.437,0.02585
CC(C)O,CCCc1ccccc1,3.93,-0.2325
CCCCCCC,CCCNCCC,3.58,-0.21179
CCCCCC,CCCCC#N,3.26,-0.19286
CCCCCCCCC,O=O,-0.536,0.03171
CC(C)CO,C/C=C/C,1.57,-0.09288
C(Cl)(Cl)(Cl)Cl,CCOC(=O)OCC,4.236,-0.2506
CCCCCCCCCCC,[Xe],0.55,-0.03254
CCCCCCCCCCCCCCCC,CCCC(=O)OCCC,3.81,-0.2254
CC(C)O,CCCCCCCCC,3.63,-0.21475
CCCCCCCC,CC(C)C(C)(C)O,3.374,-0.1996
c1ccc(cc1)Cl,C(Cl)Cl,2.59,-0.15322
CCCCCCCC,C(CCl)Cl,2.71,-0.16032
C(=S)=S,CC(C)CC(C)C,3.059,-0.18097
CC(=O)C,C(CCCl)CCl,4.81,-0.28456
C(I)I,COC=O,1.87,-0.11063
CC(C)OCCO,CCCCCCC,2.76617854949,-0.16365
CC(C)O,CCCCCCCCCCO,7.16,-0.42358
CCC(C)CO,C/C=C/C,1.57,-0.09288
CC[N+](=O)[O-],Cc1ccccc1,3.64,-0.21534
CCO,[Xe],0.37,-0.02189
CCCC#N,CCCCCCC,2.776,-0.16423
CCCCCCCCCC,CCCCCC(=O)C,3.797,-0.22463
CCCCCCCCCCCO,O=O,-0.81,0.04792
c1ccc(cc1)N,CCBr,2.303,-0.13624
C(CCl)Cl,C=C,0.36,-0.0213
C1CCC(=O)OCC1,CCCCCCCC,2.759,-0.16322
CCCO,CC(=O)CC(=O)C,3.69,-0.2183
CCC(C)(C)O,CCCC,1.58,-0.09347
C1CCC(=O)OCC1,CC(=O)OC=C,2.95,-0.17452
COCCO,CCCCOC(=O)C,3.805,-0.2251
C(Cl)(Cl)Cl,Cc1ccccc1,4.06,-0.24019
CC(C)CC(=O)C,CCCCCCC,3.198,-0.18919
CCCCCCCCCC,CCC(C)(C)OC,3.052,-0.18055
CCCC#N,CC(C)C(C)C(C)C,3.007,-0.17789
C(=S)=S,CCC1CCCCC1,4.142,-0.24504
CCC(=O)C,CC(=O)O,3.97,-0.23486
CC(=O)OC,CCC1CCCCC1,3.389,-0.20049
C(Cl)(Cl)(Cl)Cl,[C-]#[O+],-0.66,0.03905
CCC#N,CCCCCC,2.2,-0.13015
CCCCCCCCCCCCCCCC,Cc1ccccc1[N+](=O)[O-],4.78,-0.28278
CCCCCC,C(CCl)CCl,3.25,-0.19227
CC(=O)N(C)C,c1ccncc1,4.22,-0.24965
CN1CCCC1=O,C/C=C/C=C,2.23,-0.13193
C(Cl)(Cl)Cl,CCOCCO,4.592,-0.27166
CCCCCCCC,CC(C)CCCO,3.547,-0.20984
CCCO,CO,3.15,-0.18635
CN(C)C=O,CCCCCCC(=O)C,4.57,-0.27036
CC(CO)O,N#N,-1.56,0.09229
CCOC(=O)C,CCCCCC=C,2.98,-0.17629
C1CCC(=O)CC1,CCBr,2.601,-0.15387
CCCCCCCCCCCCCCCC,CCC#C,1.52,-0.08992
C(CCl)Cl,CCCCOC(=O)C,4.42,-0.26148
C(Cl)(Cl)Cl,c1ccc(cc1)CN,5.83,-0.3449
CCCCCCCCCCCCCCCC,CCC[N+](=O)[O-],2.85,-0.1686
CCCCCCCCO,C(CCl)O,4.3,-0.25439
C1CCC(=O)OCC1,CC(C)OC(C)C,2.321,-0.13731
CCCCCCCCCCCC,CCCO,2.03,-0.12009
CC(C)CO,CC=C,0.95,-0.0562
CC(C)OC(C)C,CC(C)CCl,2.917,-0.17257
CCCCCCCCCCCCCCCC,CC(C)COC=O,2.83,-0.16742
CCCCCO,CCCl,1.81,-0.10708
CCCCCCCCCCCCCCCC,CCCOCCC,2.989,-0.17683
Cc1ccccc1C,FS(F)(F)(F)(F)F,-0.2,0.01183
CCCOCCO,C1CCOC1,2.98778577038,-0.17676
CCC(=O)C,CCC1CCCCC1,3.53,-0.20883
CN1CCCC1=O,CCF,1.36,-0.08046
CN(C)C=O,C1CCCC=CCC1,3.5,-0.20706
CN(C)C=O,CCCCCC,1.97,-0.11654
C(Cl)(Cl)(Cl)Cl,CCCCC=C,2.8,-0.16565
CC(C)CO,[HH],-1.12,0.06626
c1ccc(cc1)Br,CCCCCCCC,3.74,-0.22126
CCCCCCCO,CCC,0.87,-0.05147
CO,CCCO,4.36,-0.25793
C(=O)N,CCc1ccccc1,2.39,-0.14139
CN(C)C=O,CCCOCCC,2.65,-0.15677
CC(C)O,CC(C)C(C)C(C)C,2.95,-0.17452
Cc1ccccc1,CCC(=O)OC,3.386,-0.20031
CC(C)CO,CCc1ccccc1,3.63,-0.21475
C1CCC(=O)CC1,CCOC(=O)C,3.177,-0.18795
C/C(=N/C)/O,CC=O,2.09,-0.12364
CCCCCCCCCCCCCCCC,Cc1cccs1,3.302,-0.19534
CCCCCCCCCCC,CC(CCl)Cl,2.67,-0.15796
Cc1ccccc1,CCC[N+](=O)[O-],3.848,-0.22765
CCCCCCC,CC(C)(C)O,2.21,-0.13074
CCCCCCCCCCCC,CCCC,1.66,-0.0982
CCCCO,CCCC(C)C,2.29,-0.13547
C1CCC(=O)CC1,CCC(=O)C,3.294,-0.19487
CCCCCCCCCO,N#N,-1.043,0.0617
Cc1ccc(cc1)C,C(F)(F)(F)F,-0.814,0.04816
C1COCCN1C=O,CCCCC=O,3.29,-0.19463
CCCCCCCCCCCCCCCC,CCCCCCC=C,3.591,-0.21244
CN(C)C=O,CCC(C)C,1.39,-0.08223
CCCCCCCO,[Ne],-1.543,0.09128
CCC#N,CCCC(C)C,2.078,-0.12293
CCCC#N,Cc1ccccc1,3.695,-0.21859
CN(C)C=O,CC(C)C(C)C(C)C,2.58,-0.15263
CCCCOP(=O)(OCCCC)OCCCC,CCCCCCCC,3.29,-0.19463
CCCCCCCCCO,[HH],-1.318,0.07797
Cc1ccc(cc1)C,CC(C)O,2.486,-0.14707
C1CCC(=O)CC1,Cc1ccccc1,3.794,-0.22445
CCCCCCCCC,N#N,-0.741,0.04384
CO,CC(C)(C)C,1.4,-0.08282
CC(C)CC(C)(C)C,C1CCCCC1,3.032,-0.17937
C(=O)N,CCCCCCCO,4.68,-0.27687
CCCCCCCCCCC,[He],-1.55,0.0917
CCCCCCCCO,CC(C)C(=O)C,3.04,-0.17984
CCCCCCCCCCCCCCCC,CCNCC,2.395,-0.14169
CC(C)CC(C)(C)C,CC(C)(C)O,2.38,-0.1408
C[N+](=O)[O-],CC(C)CC(C)C,1.755,-0.10382
c1ccc(cc1)C#N,C(=S)=S,2.332,-0.13796
CCCCCC,[Hg],1.74,-0.10294
CC(C)(C)OC,CC1CCCCC1,3.52,-0.20824
CC(C)O,CCCCc1ccccc1,4.35,-0.25734
c1ccc(cc1)Br,Cc1ccccc1O,5.33,-0.31532
Cc1ccc(cc1)C,CCC=C,1.71,-0.10116
C1CCC(=O)OCC1,CCCCCCC,2.345,-0.13873
CC1COC(=O)O1,CCc1ccccc1,3.53,-0.20883
CN(C)C=O,CCOC(C)(C)C,2.43,-0.14376
c1ccncc1,[N-]=[N+]=O,0.531,-0.03141
CC(CO)O,CC(C)CC(C)(C)C,1.579,-0.09341
C/C(=N/C)/O,CC(C)CC(=O)C,3.53,-0.20883
CCCCCCCCO,[Xe],0.38,-0.02248
CCCCC,CCCCCCC,3.49,-0.20647
C(CCl)Cl,CC(=O)c1ccccc1,5.74,-0.33957
CN1CCCC1=O,C(C(F)(F)Cl)(F)(F)F,-0.05,0.00296
CCCCCC,C1COCCO1,2.98,-0.17629
CC1COC(=O)O1,CCCCCCCCC,2.53,-0.14967
Cc1cccc(c1)C,CCCl,2.106,-0.12459
CCCCCCCCO,CC(Cl)Cl,2.41,-0.14257
CCCCCO,[C-]#[O+],-0.82,0.04851
CC(=O)N(C)C,CCC1CCCCC1,3.08,-0.18221
CC(C)(C)OC,C(C(F)(Cl)Cl)(F)(F)Cl,2.65,-0.15677
CCCCOCCCC,CCCCCCl,3.51,-0.20765
Cc1ccccc1,CCCCCC,2.821,-0.16689
CC(C)O,CCI,2.58,-0.15263
CN1CCCC1=O,CCC(C)(C)C,1.56,-0.09229
CCC(C)O,N#N,-0.9,0.05324
Cc1ccccc1,Cc1ccccc1C,4.485,-0.26533
CCCCCCCCO,c1cc(cc(c1)Cl)Cl,4.13,-0.24433
C(Cl)Cl,CC(C)CC(C)C,2.92,-0.17275
C1COCCN1C=O,C1CCC=CC1,2.35,-0.13902
CCCCO,CCC,0.99,-0.05857
CC(=O)O,C=C,0.547,-0.03236
Cc1cccc(c1)O,C[N+](=O)[O-],2.377,-0.14062
C(CCl)Cl,C1COCCO1,4.23,-0.25024
CCC#N,CC(C)CCC(C)C,2.754,-0.16292
C1CCC(=O)OCC1,C(Cl)Cl,2.867,-0.16961
C(Cl)(Cl)(Cl)Cl,c1ccc2ccccc2c1,5.59,-0.3307
CCCCCCCCCCCCCCCC,CCC(=O)CC,2.811,-0.1663
Cc1ccccc1,[HH],-1.162,0.06874
Cc1ccccc1,CC(=O)OC,2.66,-0.15736
CC1CCCCC1,[He],-1.51,0.08933
CCCCCCCCCCC,FS(F)(F)(F)(F)F,-0.01,0.00059
CCCCCCCCO,CCCCBr,3.09,-0.1828
C(Cl)(Cl)Cl,CC(C)(C)O,3.26,-0.19286
CCCCOCCO,CC1CCCCC1,2.94,-0.17393
Cc1ccc(cc1)C,CC(C)(C)O,2.466,-0.14589
CCC(=O)C,CI,2.55,-0.15086
CN1CCCC1=O,C=CCCC=C,2.37,-0.14021
Cc1ccccc1,Cc1ccc(cc1)C,4.347,-0.25717
CCCCCl,CCO,2.254,-0.13335
CCCCCCCCCCO,CCO,3.003,-0.17766
CCOCC,N#N,-0.55,0.03254
CCCCCCCC,CC(C)CCO,2.92,-0.17275
c1ccc(cc1)N,C1CCCC1,1.871,-0.11069
Cc1ccccc1,c1ccc(cc1)C#N,5.283,-0.31254
CCCCCCCCCC,CC,0.651,-0.03851
CCCCO,[He],-1.58,0.09347
C/N=C/O,CCC1CCCCC1,2.73,-0.16151
CCCCCCCCCCCCCCCC,C=COCC(F)(F)F,1.4,-0.08282
CCCCCCC,CO,1.2,-0.07099
CCCCCCCCCCO,C1CCC(CC1)O,5.487,-0.32461
C(I)I,CC(C)O,2.17,-0.12838
C(Cl)(Cl)(Cl)Cl,CCBr,2.53,-0.14967
Cc1ccccc1C,CCC=C,1.695,-0.10028
CCCCCC,C(Cl)(Cl)Cl,2.65,-0.15677
CC(C)CC(C)(C)C,CCS,2.294,-0.13571
C1COCCN1C=O,S,1.33,-0.07868
Cc1ccccc1,[Xe],0.53,-0.03135
CCCCCCCCO,C(Cl)(Br)Br,3.59,-0.21238
CCCCOP(=O)(OCCCC)OCCCC,O,3.09,-0.1828
C(Cl)(Cl)(Cl)Cl,CCO,1.925,-0.11388
C1COCCO1,CC1CCCCC1,3.0,-0.17748
CC(C)(C)O,[HH],-1.09,0.06448
C(Cl)Cl,CC(C)CCC(C)C,3.399,-0.20108
CCOC(=O)C,CCCC=C,2.17,-0.12838
CCCCCCCCCC,O,0.35,-0.02071
CCCOCCO,C(Cl)Cl,2.72658944998,-0.1613
C(Cl)(Cl)(Cl)Cl,c1ccc(cc1)C#N,4.85,-0.28692
CC(=O)N(C)C,C=C,0.33,-0.01952
CC[N+](=O)[O-],CCO,2.819,-0.16677
CC(C)O,C[Sn](C)(C)C,2.54,-0.15026
c1ccc(cc1)[N+](=O)[O-],C[N+](=O)[O-],3.547,-0.20984
CCOC(=O)C,CCN(CC)CC,3.13,-0.18517
C1CCC(=O)CC1,CC(C)C(C)C(C)C,3.152,-0.18647
C[N+](=O)[O-],CCC1CCCCC1,2.533,-0.14985
Cc1ccccc1,CCCCCC(=O)C,4.618,-0.2732
CCCCCCCC,[2H][2H],-0.98,0.05798
CC(=O)c1ccccc1,C(Cl)(Cl)(Cl)Cl,2.924,-0.17298
CCCCO,CCCl,1.83,-0.10826
CCCCCCCCO,C1CCCCC1,2.71,-0.16032
C1CCC(=O)OCC1,CCOC(C)(C)C,2.435,-0.14405
CC(=O)O,[C-]#[O+],-0.771,0.04561
CCCCOC(=O)C,CC(C)CCC(C)C,3.266,-0.19321
CCC(=O)C,CCCCCCCCCC,4.42,-0.26148
CC(C)CO,[2H][2H],-1.12,0.06626
C=CCO,CC=C,0.92,-0.05443
CC(C)CCO,C1COCCO1,3.34,-0.19759
CCCCCCC,[HH],-0.943,0.05579
CN1CCCC1=O,CC1CCCC1,2.19,-0.12956
CCCCCCCCCCCC,CCCC(C)C,2.57,-0.15204
CCCCCCC,CCC=C,1.817,-0.10749
c1ccc(cc1)I,CCCN,2.6,-0.15381
CN(C)C=O,C=CCC=C,1.92,-0.11359
CCCCCCC,CCCCC(=O)OC,3.601,-0.21303
C1CCC(=O)CC1,CC#N,3.151,-0.18641
CCCCCCCCCCCCCCCC,CCOc1ccccc1,4.14,-0.24492
CC(C)CC(C)(C)C,CC=C,1.18,-0.06981
CCCCCCCCO,[Ne],-1.57,0.09288
CC1CCCCC1,CC(=O)C(=O)C,2.6,-0.15381
CCCCCCC,C1CCC(=O)CC1,3.8,-0.22481
CN(C)C=O,CC(F)F,1.55,-0.0917
CN1CCCC1=O,C(Cl)(Cl)(Cl)Cl,3.05,-0.18044
CCCCCCCCCCC,C=CC=O,2.02,-0.1195
C(Cl)(Cl)(Cl)Cl,CCOC(=O)c1ccccc1O,6.06,-0.35851
C(Cl)(Cl)(Cl)Cl,COCOC,2.68,-0.15855
CCCCC,C=C,0.51,-0.03017
CCCCCCCCCCCCCCCC,CCC(CC)(CC)CC,3.82,-0.22599
CC(=O)c1ccccc1,CCCCl,2.53,-0.14967
CCCCCCC,C=C,0.457,-0.02704
CCCCCCCCCCCC,CCCOCCO,3.37,-0.19937
CC(=O)O,CC(C)(C)Br,2.513,-0.14867
CCC(=O)C,CCCC=C,2.11,-0.12483
CCCCCCCCCC,C[N+](=O)[O-],1.92,-0.11359
CCCCCCCCCCCCCCCC,C(CBr)Br,3.999,-0.23658
CCCCCCCC,CCCCCCO,3.661,-0.21658
CCCCCCCCCCCC,C(F)(F)(F)F,-0.72,0.04259
CN(C)C=O,CCN(CC)CC,2.62,-0.155
CCCCCCC,Cc1ccccc1C,4.04,-0.239
Cc1ccc(cc1)C,CCCCCCCCC,4.329,-0.2561
CO,CCS,2.2,-0.13015
CC(C)CC(C)(C)C,ClCl,1.382,-0.08176
CC(C)(C)OC,c1ccccc1,3.16,-0.18694
CC(=O)c1ccccc1,CC(C)CCC(C)C,2.746,-0.16245
CCCCCCCCCC,c1ccccc1,2.92,-0.17275
C1CCOC1,CC(C)(C)Br,2.84,-0.16801
C(CCl)Cl,CO,2.16,-0.12778
CCCCCCCCCC,Cc1ccccc1,3.42,-0.20232
CC(=O)c1ccccc1,C1CCCCC1,2.548,-0.15074
CCCCCCCCCCO,CO,2.53,-0.14967
CCCCCCCCCCCC,CC(=O)c1ccccc1,4.48,-0.26503
C1COCCO1,CC(C)CC(C)C,2.45,-0.14494
CCC(=O)C,CC(=C)C=C,2.4,-0.14198
CCCCCCCCCCCC,CCCCCCCO,3.92,-0.2319
CN1CCCC1=O,CC(F)F,1.48,-0.08756
CCCCCCCCO,CCCCC,1.95,-0.11536
CCCCCCCC,CCCOC(=O)C,2.946,-0.17428
CCC(C)O,[He],-1.56,0.09229
C1COCCN1C=O,CC(=O)C,2.71,-0.16032
CCCCCCCCCC,CC(C)CC(C)O,3.34,-0.19759
CCCCOC(=O)C,N#N,-0.799,0.04727
CCCCCCCC,CC(C)C(C)C(C)C,3.6,-0.21297
CCCCCCCCCCCCCCCC,CC(C)(C)C,1.82,-0.10767
CC(C)CC(C)(C)C,Cc1ccc(cc1)C,3.948,-0.23356
CCCCO,CCCC,1.37,-0.08105
C(Cl)(Cl)(Cl)Cl,C(C(=O)O)Cl,3.88,-0.22954
CCCCCCCCO,CCCCCOCCCCC,4.8,-0.28396
CCCCCC,c1ccc(cc1)[N+](=O)[O-],4.464,-0.26409
CN(C)C=O,CO,3.4,-0.20114
C1CCOC1,CCCCCCC,3.34,-0.19759
Cc1ccccc1,CC(C)CO,3.086,-0.18257
CCCCCl,c1ccc(cc1)Cl,4.098,-0.24244
CCCCOC(=O)C,CC(C)CO,3.55,-0.21002
C1COCCN1C=O,C(=O)=O,0.55,-0.03254
CCCCOC,C(Cl)(Cl)(Cl)Cl,3.22,-0.19049
CCCCCCC,CC(C)CC(C)C,3.086,-0.18257
C(CCl)Cl,O=S=O,1.87,-0.11063
CO,O,4.07,-0.24078
C1CCCCCCC1,N#N,-0.965,0.05709
C(Cl)(Cl)(Cl)Cl,C1C[C@@H]2[C@@H](CCCC2)CC1,5.303,-0.31372
CCCCCCCCCCCCCCCC,CC(C)(C)c1ccncc1,4.75,-0.28101
CC1CCCCC1,CCCCO,3.06,-0.18103
CCCCCCO,CCCCCO,4.9,-0.28988
C/C(=N/C)/O,CCC(=O)C,3.07,-0.18162
CN(C)C=O,CC,0.22,-0.01302
c1ccc(cc1)Br,CC(C)CO,3.1,-0.18339
C(CCl)Cl,CC(C)C=C,1.99,-0.11773
C1CCOC1,CN(C)C=O,4.39,-0.25971
CCCCCCCCCCCCCCCC,CCSCC,3.104,-0.18363
c1ccc(cc1)Cl,CCCCCO,3.92,-0.2319
CC(C)O,CCO,3.55,-0.21002
C/C(=N/C)/O,C=CCO,4.3,-0.25439
CC(=O)OC,CC#C,1.84,-0.10885
c1ccc(cc1)Cl,[He],-1.78,0.1053
Cc1ccccc1,CC(C)C=C,2.149,-0.12713
CC(=O)C,CCNCC,2.75,-0.16269
CC(C)CO,CCCCO,4.49,-0.26563
CCCCCCCCCCCCCCCC,C=CCBr,2.51,-0.14849
CCCCCCC,CCCCC,2.4,-0.14198
CCOCCO,CCOC(=O)C,3.037,-0.17967
Cc1ccccc1,CCCCCl,3.187,-0.18854
CCO,N#N,-0.84,0.04969
CCCCCCCCO,CCOC=O,2.19,-0.12956
c1ccc(cc1)N,O=O,-1.22,0.07217
C(CCl)Cl,CCCCC,1.99,-0.11773
Cc1ccccc1,CCCC(C)C,2.653,-0.15695
CCCO,c1ccncc1,3.99,-0.23605
CCCC(C)O,C/C=C/C,1.58,-0.09347
CC(C)O,CCCCCO,5.01,-0.29639
C(CCl)Cl,CCCC(C)C,2.34,-0.13843
Cc1cccc(c1)C,CCCCC=C,2.738,-0.16198
CC(C)CCO,CC(F)F,0.9559,-0.05655
C(CCl)Cl,CCOC(=O)C,3.7,-0.21889
